2025-01-29 01:13:22,323 INFO    MainThread:359813 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-01-29 01:13:22,326 INFO    MainThread:359813 [wandb_setup.py:_flush():68] Configure stats pid to 359813
2025-01-29 01:13:22,326 INFO    MainThread:359813 [wandb_setup.py:_flush():68] Loading settings from /home/kyudan/.config/wandb/settings
2025-01-29 01:13:22,326 INFO    MainThread:359813 [wandb_setup.py:_flush():68] Loading settings from /home/kyudan/WhisperLlama/wandb/settings
2025-01-29 01:13:22,326 INFO    MainThread:359813 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-29 01:13:22,326 INFO    MainThread:359813 [wandb_init.py:setup_run_log_directory():624] Logging user logs to /home/kyudan/WhisperLlama/wandb/run-20250129_011322-7k9s53zt/logs/debug.log
2025-01-29 01:13:22,326 INFO    MainThread:359813 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to /home/kyudan/WhisperLlama/wandb/run-20250129_011322-7k9s53zt/logs/debug-internal.log
2025-01-29 01:13:22,326 INFO    MainThread:359813 [wandb_init.py:init():743] calling init triggers
2025-01-29 01:13:22,326 INFO    MainThread:359813 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {}
2025-01-29 01:13:22,326 INFO    MainThread:359813 [wandb_init.py:init():776] starting backend
2025-01-29 01:13:22,567 INFO    MainThread:359813 [wandb_init.py:init():780] sending inform_init request
2025-01-29 01:13:22,583 INFO    MainThread:359813 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-01-29 01:13:22,585 INFO    MainThread:359813 [wandb_init.py:init():795] backend started and connected
2025-01-29 01:13:22,588 INFO    MainThread:359813 [wandb_init.py:init():888] updated telemetry
2025-01-29 01:13:22,947 INFO    MainThread:359813 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-01-29 01:13:23,321 INFO    MainThread:359813 [wandb_init.py:init():967] starting run threads in backend
2025-01-29 01:13:23,458 INFO    MainThread:359813 [wandb_run.py:_console_start():2409] atexit reg
2025-01-29 01:13:23,458 INFO    MainThread:359813 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-01-29 01:13:23,458 INFO    MainThread:359813 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-01-29 01:13:23,458 INFO    MainThread:359813 [wandb_run.py:_redirect():2349] Redirects installed.
2025-01-29 01:13:23,461 INFO    MainThread:359813 [wandb_init.py:init():1009] run started, returning control to user process
2025-01-29 01:13:42,298 WARNING MsgRouterThr:359813 [router.py:message_loop():75] message_loop has been closed
